STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_PORTAL_200;VIEW;A_RUOKRES_PSC_TMP;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;VIEW;A_USER_PAGE_ACTIVITY_V;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;B_CLHLAVICKA;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;B_CLLOG;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;B_CLRADEK;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_ADRESA;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_ADRESA_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KAMPAN;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KAMPAN_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KAMPANTYP_ACIS;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KAMPANTYP_CIS;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENT;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENT_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTBP;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTBP_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;VIEW;C_KLIENTBPVSE_V;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTBP_ZALOHA;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTDODNEPLAC_LOG;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTDODNEPLAC_WORK;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFIN;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFIN_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINKOMUNIKACE;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINKOMUNIKACE_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;VIEW;C_KLIENTFINKOMUNIKACE_V;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINPARAMETRY;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINPARAMETRY_ARCH;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;VIEW;C_KLIENTFINPARAMETRYVSE_V;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINPLATNOST_ACIS;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINPLATNOST_CIS;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINSKLADTYP_ACIS;APEX_PORTAL_200;SELECT;NO;NO
O;DBREAD;APEX_PORTAL_200;TABLE;C_KLIENTFINSKLADTYP_CIS;APEX_PORTAL_200;SELECT;NO;NO
