STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_PRAVO;TABLE;AZ_HLAVICKA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;AZ_RADKY;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;AZ_UDALOSTTYP;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;DLUZNIK;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;DOHODA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;EXEKUCE;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;FV_HLAVICKA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;FV_RADKY;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;HISTORIE;APEX_PRAVO;SELECT;NO;NO
N;DBREAD;APEX_PRAVO;TABLE;HTMLDB_PLAN_TABLE;APEX_PRAVO;SELECT ;NO;NO
O;DBREAD;APEX_PRAVO;TRIGGER;IR_HLAVICKA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;IR_HLAVICKA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;IR_HLAVICKA_TMP;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;IR_OSOBA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TRIGGER;IR_OSOBA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;IR_OSOBA_TMP;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;IR_RADEK;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TRIGGER;IR_RADEK;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;IR_RADEK_TMP;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;KAUZA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;KOMUNIKACE;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;KONKURS;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;LIKVIDACE;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;LOG;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;PRILOHA;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;REF_SMLOUVY;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;REF_ZAL_DOH;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;REF_ZAL_EXE;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;REF_ZAL_KON;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;REKLAMACE;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;REVIZE;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;SMLOUVY;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;TREST;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;UPOZORNENI;APEX_PRAVO;SELECT;NO;NO
O;DBREAD;APEX_PRAVO;TABLE;ZALOBA;APEX_PRAVO;SELECT;NO;NO
