STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_SAS;TABLE;EXPORTS;APEX_SAS;SELECT;NO;NO
O;DBREAD;APEX_SAS;TABLE;FVFTEMP;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;FVFTEMP_BCK;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;FVMUS;APEX_SAS;SELECT;NO;NO
O;DBREAD;APEX_SAS;TABLE;KUNDE;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;KUNDE_BCK;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;OBJEKT;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;OBJEKT_BCK;APEX_SAS;SELECT ;NO;NO
N;DBREAD;APEX_SAS;TABLE;PLSQL_PROFILER_DATA;APEX_SAS;SELECT ;NO;NO
N;DBREAD;APEX_SAS;TABLE;PLSQL_PROFILER_RUNS;APEX_SAS;SELECT ;NO;NO
N;DBREAD;APEX_SAS;TABLE;PLSQL_PROFILER_UNITS;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;PROCESS;APEX_SAS;SELECT;NO;NO
O;DBREAD;APEX_SAS;TABLE;PROCESS_STATE;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;RISK_REPORT;APEX_SAS;SELECT ;NO;NO
N;DBREAD;APEX_SAS;TABLE;RUN_EXPORT;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;SALTEMP;APEX_SAS;SELECT;NO;NO
O;DBREAD;APEX_SAS;TABLE;SICHERHEIT;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;SICHERHEIT_BCK;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;VERTRAG;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;VERTRAG_BCK;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;VERTRAG_OLD;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;VERTRAG_OLD_BCK;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;VERTRAGTEMP;APEX_SAS;SELECT;NO;NO
N;DBREAD;APEX_SAS;TABLE;VERTRAGTEMP_BCK;APEX_SAS;SELECT ;NO;NO
O;DBREAD;APEX_SAS;TABLE;ZAHLUNGSPLAN;APEX_SAS;SELECT;NO;NO
