STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_SKLAD;TABLE;C_KLIENTFIN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;C_KLIENTFINPARAMETRY_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;C_KURZLIST_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;C_KURZLISTROW_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;C_MENA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;C_SAZBADPH_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;C_UCETNIROK_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LCONTSMLWORIG_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LIABILITYCONT_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LOGISTICINFO_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSCEVENT_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSCONT_BCK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSCONT_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSCONTPARAMUCET_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSPOPLATEK_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSSPLHEAD_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSSPLROW_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSSPLSTATROW_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_LSUROKSAZBA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_SLDOPRPROSTR_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_SLOBECNY_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;E_SUBJLEAS_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_PENPOSTUP_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_PFACTRADA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_PFMAIN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_PFPOLOZKA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_VFACTRADA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_VFDAN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_VFMAIN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_VFPAYALLOC_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_VFPOLOZKA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;F_VFUCKODMAIN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_FACT_TEMP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_FACT_TEMP_OVRL;APEX_SKLAD;SELECT;NO;NO
N;DBREAD;APEX_SKLAD;TABLE;G_FVFPOL_TEMP;APEX_SKLAD;SELECT ;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_JEDNOSTR_SPL;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_RESALE_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;VIEW;G_SKLADBATCHDATATESTACCDATE_V;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;VIEW;G_SKLADBATCHDATATESTACCNEG_V;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;VIEW;G_SKLADBATCHDATATESTSPLSUM_V;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADBATCH_LOG;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;VIEW;G_SKLADBATCHMAIN_V;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADBATCHPROCESS_LOG;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;VIEW;G_SKLADBATCHPROCESSPHAZE_V;APEX_SKLAD;SELECT;NO;NO
