STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;GEMB_SKLAD;TABLE;F301_FIS_PARTY;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F302_FIS_ADDR;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F303_FIS_EMAIL;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F304_FIS_IDCARD;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F305_FIS_PHONE;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F306_FIS_PROD_INST;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F307_FIS_OBJECT;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F308_FIS_OBJECT_ROLE;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F309_FIS_COLLATERAL;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F310_FIS_PAY_SCHD;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F311_FIS_ACC_BAL_FACT;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F312_FIS_INSURANCE;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F313_FIS_IF_PROD_FRM;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F314_FIS_IF_PROD_TRNCH;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F315_FIS_SOFO;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F316_FIS_FRAME;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F317_FIS_FORUS_REC_DET;GEMB_SKLAD;SELECT;NO;NO
O;DBREAD;GEMB_SKLAD;TABLE;F318_FIS_IF_FORUS_REC_DET;GEMB_SKLAD;SELECT;NO;NO
