STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;VBLCZ_APEX_200;TABLE;A_APEXLOV_CIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;AQ$R_REPORTSUB_AQL;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;AQ$_R_REPORTSUB_AQL_F;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;AQ$_R_REPORTSUB_AQL_G;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;AQ$_R_REPORTSUB_AQL_H;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;AQ$_R_REPORTSUB_AQL_I;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;AQ$_R_REPORTSUB_AQL_L;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;AQ$R_REPORTSUB_AQL_R;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;AQ$_R_REPORTSUB_AQL_S;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;AQ$R_REPORTSUB_AQL_S;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;AQ$_R_REPORTSUB_AQL_T;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_ADRESATYP_ACIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_ADRESATYP_CIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;C_DOPRINSPEKTORAT_V;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBP_ACIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBP_CIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;C_KLIENTBPCISPREHLED_V;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;VIEW;C_KLIENTBPCIS_UV;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPKATEGORIE_REF;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPKONTAKTUJE_ACIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPKONTAKTUJE_CIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPSCHUZKA_ACIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPSCHUZKA_CIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPVLASTNIK_ACIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPVLASTNIK_CIS;VBLCZ_APEX_200;SELECT;NO;NO
O;DBREAD;VBLCZ_APEX_200;TABLE;C_KLIENTBPVYSLEDEK_ACIS;VBLCZ_APEX_200;SELECT;NO;NO
