STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;VBLCZ_BASE_200;TABLE;A_AMORTVAZBA;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_APPLICATIONS_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_BANKA_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_CONSTRAINTS_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_DPHSAZBAPODSKUPINA_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_DPHSAZBA_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_EMAIL_LOG;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_EMAILLOG_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_EMAILPRILOHA_TMP;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_EMAILTYP_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_EMAILTYP_CIS;VBLCZ_BASE_200;SELECT;NO;NO
N;DBREAD;VBLCZ_BASE_200;TABLE;A_ENV_APP;VBLCZ_BASE_200;SELECT ;NO;NO
N;DBREAD;VBLCZ_BASE_200;TABLE;A_ENV_APP_DB_FILE;VBLCZ_BASE_200;SELECT ;NO;NO
N;DBREAD;VBLCZ_BASE_200;TABLE;A_ENV_DB;VBLCZ_BASE_200;SELECT ;NO;NO
N;DBREAD;VBLCZ_BASE_200;TABLE;A_ENV_DB2REP_SERVER;VBLCZ_BASE_200;SELECT ;NO;NO
N;DBREAD;VBLCZ_BASE_200;TABLE;A_ENV_REP_SERVER;VBLCZ_BASE_200;SELECT ;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_JOB_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_JOB_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_JOB_LOG;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_KRAJ_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_KRAJ_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTACL_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTDBUSER_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTIDX_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTJOBDETAIL_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTJOBNOTIF_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTJOBRUNNING_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTJOBSRULE_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTJOBSTEP_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTJOB_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTMV_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTOBJINVALID_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LISTTAB_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LOGGERALL_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_LOGGERMAIN_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_LOGTABULKA_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_LOGTABULKA_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_LOGTYP_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_LOGTYP_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_MENA_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_MENA_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_MIMETYP_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_MIMETYP_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_MQGEML_KALK_IN_LOG;VBLCZ_BASE_200;SELECT;NO;NO
