STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_APLIKACE_CIS;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_GRANTAPPMODULE_REF;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_GRANTAPP_REF;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_GRANTAPPRUN_LOG;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;VIEW;A_GRANTLOG_V;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_GRANTMODULE_CIS;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;VIEW;A_GRANTMODULELIST_V;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_GRANTPRIV_CIS;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_GRANTSQL_LOG;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;A_INSTALL_LOG;VBLCZ_INSTALL_200;SELECT;NO;NO
O;DBREAD;VBLCZ_INSTALL_200;TABLE;TOAD_PLAN_TABLE;VBLCZ_INSTALL_200;SELECT;NO;NO
